,,etiqueta,registros,salario_mediano,salario_medio
nivel_educativo,0,0,3995,1500.0,1767.0911138923655
nivel_educativo,1,1,459,2160.0,2241.8976034858388
nivel_educativo,2,2,15822,2200.0,2307.956389836936
nivel_educativo,3,3,8249,2800.0,2730.200266698994
nivel_educativo,4,4,16851,3600.0,3796.407987656519
nivel_educativo,5,5,6818,5000.0,5965.295247873277
nivel_educativo,6,6,771,10000.0,11409.269779507134
nivel_educativo,7,7,60,12000.0,14452.266666666666
categoria_ocupacional,0,Gobierno,6575,5000.0,5971.534448669201
categoria_ocupacional,1,Empresa privada,28702,3567.5,3875.139641836806
categoria_ocupacional,2,Jornalero o peón,13842,1800.0,1878.6093772576216
categoria_ocupacional,3,Servicio doméstico,3906,1000.0,1265.7442396313363
dominio,0,1,22072,3700.0,4190.893892714752
dominio,1,2,20146,2880.0,3131.0609053906483
dominio,2,3,10807,2000.0,2392.434718238179
