tramo,rango,n,salario_real_medio,prediccion_media,mae,error_medio,modelo
0,"<= Q1,600",2606,1040.3637759017652,1870.4193943914202,961.3952368233099,-830.0556184896543,regresión lineal
1,"Q1,600 - Q2,800",2676,2245.654708520179,2653.6064020784074,881.5933049260291,-407.9516935582217,regresión lineal
2,"Q2,800 - Q3,600",2600,3288.566923076923,3406.6722883279285,820.4482106634808,-118.10536525101446,regresión lineal
3,"Q3,600 - Q4,400",2261,3926.9955771782397,4026.266646799236,809.7775768537326,-99.27106962099192,regresión lineal
4,"> Q4,400",2521,7433.052756842523,5371.04679220172,2576.98093298835,2062.0059646408067,regresión lineal
0,"<= Q1,600",2606,1040.3637759017652,1711.953569777226,746.3198481795746,-671.5897938754608,random forest
1,"Q1,600 - Q2,800",2676,2245.654708520179,2598.165682426193,693.1474962912522,-352.51097390601586,random forest
2,"Q2,800 - Q3,600",2600,3288.566923076923,3385.9423410160575,692.5141596982511,-97.37541793913155,random forest
3,"Q3,600 - Q4,400",2261,3926.9955771782397,3990.8629882462274,712.4382064606635,-63.86741106798585,random forest
4,"> Q4,400",2521,7433.052756842523,5715.261351031848,2297.077693717591,1717.7914058106699,random forest
